glyph_id,unicode,latin_translit,phoneme,root,english_gloss,example_inscription,notes
M20b,U+10A73,r,r,R-W-Ḥ,spirit/breath,CIS 567,spiritual essence
M20c,U+10A73,r,r,R-ʾ-S,head/chief,CIS 445,leadership
M20d,U+10A73,r,r,R-J-L,foot/leg,RES 4221,anatomical limb
M20e,U+10A73,r,r,R-Ḥ-M,mercy/compassion,CIS 445,divine attribute
M20f,U+10A73,r,r,R-ʾ-Y,to see/perceive,CIS 445,visual perception
M20g,U+10A73,r,r,R-M-Ḥ,spear/lance,RES 4221,military weapon
M20h,U+10A73,r,r,R-J-ʾ,hope/expectation,CIS 567,future aspiration
M20i,U+10A73,r,r,R-K-B,to ride/mount,CIH 556,transportation
M21,U+10A74,š,ʃ,Š-M-S,sun/solar deity,RES 3044,celestial worship
M21a,U+10A74,š,ʃ,Š-R-B,to drink/imbibe,CIS 567,liquid consumption
M21b,U+10A74,š,ʃ,Š-H-R,month/lunar cycle,RES 4221,calendar unit
M21c,U+10A74,š,ʃ,Š-ʿ-R,hair/covering,CIH 445,natural protection
M21d,U+10A74,š,ʃ,Š-H-D,witness/testimony,CIH 445,legal evidence
M21e,U+10A74,š,ʃ,Š-K-R,gratitude/appreciation,CIH 445,thanksgiving
M21f,U+10A74,š,ʃ,Š-T-W,winter/cold season,RES 4221,seasonal period
M21g,U+10A74,š,ʃ,Š-R-Q,east/sunrise,CIS 445,directional/temporal
M22,U+10A75,t,t,T-W-B,repentance/return,CIS 567,spiritual renewal
M22a,U+10A75,t,t,T-Ḥ-T,under/beneath,RES 4156,positional preposition
M22b,U+10A75,t,t,T-J-R,merchant/trader,CIH 445,commercial profession
M22c,U+10A75,t,t,T-R-B,soil/earth,CIS 567,agricultural medium
M22d,U+10A75,t,t,T-S-ʿ,nine/ninefold,RES 3967,numerical concept
M22e,U+10A75,t,t,T-M-R,date/palm fruit,CIH 445,agricultural product
M23,U+10A76,ṯ,θ,ṯ-M-N,to establish/secure,RES 3027,foundation work
M23a,U+10A76,ṯ,θ,ṯ-L-Ṯ,three/triple,CIS 445,numerical concept
M23b,U+10A76,ṯ,θ,ṯ-W-R,bull/ox,RES 4156,livestock/strength
M23c,U+10A76,ṯ,θ,ṯ-M-R,fruit/produce,CIH 445,agricultural yield
M23d,U+10A76,ṯ,θ,ṯ-Q-L,heavy/weight,RES 3967,physical property
M24,U+10A77,x,x,X-R-J,to go out/exit,RES 3967,departure movement
M24a,U+10A77,x,x,X-T-M,seal/signet,RES 3967,authentication tool
M24b,U+10A77,x,x,X-W-F,fear/dread,CIH 556,emotional response
M24c,U+10A77,x,x,X-W-N,betrayal/treachery,RES 3856,broken trust
M24d,U+10A77,x,x,X-Ṭ-ʾ,sin/error,CIH 445,moral failure
M24e,U+10A77,x,x,X-L-Q,creation/formation,CIS 567,divine activity
M24f,U+10A77,x,x,X-M-R,wine/fermented drink,RES 4221,alcoholic beverage
M25,U+10A78,ḏ,ð,Ḏ-H-B,gold/precious metal,CIH 445,valuable commodity
M25a,U+10A78,ḏ,ð,Ḏ-K-R,male/masculine,RES 3967,gender designation
M25b,U+10A78,ḏ,ð,Ḏ-R-ʿ,arm/forearm,CIS 567,anatomical limb
M25c,U+10A78,ḏ,ð,Ḏ-N-B,tail/appendage,CIH 445,anatomical feature
M25d,U+10A78,ḏ,ð,Ḏ-ʾ-B,wolf/predator,RES 4156,wild animal
M26,U+10A79,ġ,ɣ,Ġ-N-Y,wealth/riches,CIS 567,material prosperity
M26a,U+10A79,ġ,ɣ,Ġ-R-B,west/sunset,CIH 445,directional/temporal
M26b,U+10A79,ġ,ɣ,Ġ-Z-L,gazelle/antelope,RES 4156,desert fauna
M26c,U+10A79,ġ,ɣ,Ġ-Y-M,cloud/sky covering,CIS 567,meteorological
M26d,U+10A79,ġ,ɣ,Ġ-S-L,washing/cleansing,RES 4221,purification
M27,U+10A7A,p,p,P-R-S,horse/equine,CIH 445,transportation animal
M27a,U+10A7A,p,p,P-T-Ḥ,opening/aperture,RES 3967,access point
M27b,U+10A7A,p,p,P-R-D,individual/single,CIS 567,unit designation
M27c,U+10A7A,p,p,P-L-K,spindle/spinning tool,CIH 445,textile production
M27d,U+10A7A,p,p,P-ʿ-L,action/deed,RES 4221,behavioral concept
M28,U+10A7B,ṗ,p',Ṗ-L-G,division/section,CIS 567,administrative unit
M28a,U+10A7B,ṗ,p',Ṗ-R-Y,fruit/offspring,CIH 445,productive yield
M28b,U+10A7B,ṗ,p',Ṗ-Q-D,attention/care,RES 3967,mindful oversight
M28c,U+10A7B,ṗ,p',Ṗ-S-L,prayer/petition,CIS 445,religious request
M29,U+10A7C,ṯ̣,θ',Ṯ̣-H-R,back/posterior,RES 4156,anatomical/positional
M29a,U+10A7C,ṯ̣,θ',Ṯ̣-L-L,shade/shadow,CIH 445,protective covering
M29b,U+10A7C,ṯ̣,θ',Ṯ̣-F-R,nail/claw,CIS 567,anatomical feature
M29c,U+10A7C,ṯ̣,θ',Ṯ̣-M-ʾ,thirst/dryness,RES 4221,physical need
M30,U+10A7D,ḫ,χ,Ḫ-L-Q,smooth/polished,CIH 445,surface quality
M30a,U+10A7D,ḫ,χ,Ḫ-R-B,ruin/destruction,RES 3856,devastation
M30b,U+10A7D,ḫ,χ,Ḫ-W-F,fear/terror,CIS 567,intense emotion
M30c,U+10A7D,ḫ,χ,Ḫ-Ḍ-R,green/vegetation,CIH 445,plant life
M30d,U+10A7D,ḫ,χ,Ḫ-Y-R,good/beneficial,RES 4221,positive quality
M31,U+10A7E,ẓ,ðˤ,Ẓ-L-M,darkness/injustice,RES 3856,moral/physical shadow
M31a,U+10A7E,ẓ,ðˤ,Ẓ-H-R,noon/midday,CIS 567,temporal peak
M31b,U+10A7E,ẓ,ðˤ,Ẓ-F-R,victory/triumph,CIH 445,successful outcome
M31c,U+10A7E,ẓ,ðˤ,Ẓ-L-L,remaining/staying,RES 4156,persistence
M31d,U+10A7E,ẓ,ðˤ,Ẓ-R-F,container/vessel,CIS 445,storage implement
M32,U+10A7F,ḍ,dˤ,Ḍ-ʿ-F,weakness/frailty,RES 3856,human limitation
M32a,U+10A7F,ḍ,dˤ,Ḍ-R-B,striking/beating,CIH 445,percussive action
M32b,U+10A7F,ḍ,dˤ,Ḍ-L-ʿ,rib/side,CIS 567,anatomical feature
M32c,U+10A7F,ḍ,dˤ,Ḍ-Y-F,guest/visitor,RES 4221,hospitality context
M32d,U+10A7F,ḍ,dˤ,Ḍ-W-ʾ,light/illumination,CIH 445,luminous quality
