unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
σοφός,sophos,σοφός,adj masc nom sg,wise/skilled,ἀνὴρ σοφός,Philosophical term,750,Herodotus Plato.Rep
σοφή,sophē,σοφός,adj fem nom sg,wise/skilled,γυνὴ σοφή,Feminine of σοφός,750,Herodotus Plato.Rep
σοφόν,sophon,σοφός,adj neut nom sg,wise/skilled,ἔργον σοφόν,Neuter of σοφός,750,Herodotus Plato.Rep
καλός,kalos,καλός,adj masc nom sg,beautiful/good,ἀνὴρ καλός,Aesthetic and moral term,780,Homer.Il Plato.Rep
καλή,kalē,καλός,adj fem nom sg,beautiful/good,γυνὴ καλή,Feminine of καλός,780,Homer.Il Plato.Rep
καλόν,kalon,καλός,adj neut nom sg,beautiful/good,ἔργον καλόν,Neuter of καλός,780,Homer.Il Plato.Rep
μέγας,megas,μέγας,adj masc nom sg,great/large,ἀνὴρ μέγας,Irregular adjective,820,Homer.Il Herodotus
μεγάλη,megalē,μέγας,adj fem nom sg,great/large,πόλις μεγάλη,Feminine of μέγας,820,Homer.Il Herodotus
μέγα,mega,μέγας,adj neut nom sg,great/large,ἔργον μέγα,Neuter of μέγας,820,Homer.Il Herodotus
πόλις,polis,πόλις,noun fem nom sg,city/city-state,ἡ πόλις καλή,Political term,900,Herodotus Plato.Rep
πόλεως,poleōs,πόλις,noun fem gen sg,of a city,τῆς πόλεως οἱ νόμοι,Genitive of πόλις,900,Herodotus Plato.Rep
πόλει,polei,πόλις,noun fem dat sg,to/for a city,τῇ πόλει βοηθέω,Dative of πόλις,900,Herodotus Plato.Rep
πόλιν,polin,πόλις,noun fem acc sg,a city,πόλιν οἰκοδομέω,Accusative of πόλις,900,Herodotus Plato.Rep
πόλεις,poleis,πόλις,noun fem nom pl,cities,αἱ πόλεις ἐλεύθεραι,Nominative plural of πόλις,900,Herodotus Plato.Rep
γυνή,gynē,γυνή,noun fem nom sg,woman/wife,ἡ γυνὴ σοφή,Irregular noun,870,Homer.Il Euripides
γυναικός,gynaikas,γυνή,noun fem gen sg,of a woman,τῆς γυναικὸς ἡ ἀρετή,Genitive of γυνή,870,Homer.Il Euripides
γυναικί,gynaiki,γυνή,noun fem dat sg,to/for a woman,τῇ γυναικὶ δῶρον,Dative of γυνή,870,Homer.Il Euripides
γυναῖκα,gynaika,γυνή,noun fem acc sg,a woman,γυναῖκα ὁρῶ,Accusative of γυνή,870,Homer.Il Euripides
γυναῖκες,gynaikes,γυνή,noun fem nom pl,women,αἱ γυναῖκες σπουδαῖαι,Nominative plural of γυνή,870,Homer.Il Euripides
λέγω,legō,λέγω,verb 1st sg pres ind act,I say/speak,λέγω τὴν ἀλήθειαν,High frequency verb,950,Homer.Il Plato.Rep
λέγεις,legeis,λέγω,verb 2nd sg pres ind act,you say,λέγεις καλῶς,2nd person singular of λέγω,950,Homer.Il Plato.Rep
λέγει,legei,λέγω,verb 3rd sg pres ind act,he/she says,λέγει τὴν ἀλήθειαν,3rd person singular of λέγω,950,Homer.Il Plato.Rep
λέγομεν,legomen,λέγω,verb 1st pl pres ind act,we say,λέγομεν ταῦτα,1st person plural of λέγω,950,Homer.Il Plato.Rep
λέγετε,legete,λέγω,verb 2nd pl pres ind act,you (pl) say,λέγετε τὴν ἀλήθειαν,2nd person plural of λέγω,950,Homer.Il Plato.Rep
λέγουσι,legousi,λέγω,verb 3rd pl pres ind act,they say,λέγουσι ταῦτα,3rd person plural of λέγω,950,Homer.Il Plato.Rep
ὁρῶ,horō,ὁράω,verb 1st sg pres ind act,I see,ὁρῶ τὸν ἄνδρα,Contract verb ὁράω,880,Homer.Il Plato.Rep
ὁρᾷς,horāis,ὁράω,verb 2nd sg pres ind act,you see,ὁρᾷς τὴν γυναῖκα,2nd person singular of ὁράω,880,Homer.Il Plato.Rep
ὁρᾷ,horāi,ὁράω,verb 3rd sg pres ind act,he/she sees,ὁρᾷ τὸ καλόν,3rd person singular of ὁράω,880,Homer.Il Plato.Rep
ὁρῶμεν,horōmen,ὁράω,verb 1st pl pres ind act,we see,ὁρῶμεν τὴν πόλιν,1st person plural of ὁράω,880,Homer.Il Plato.Rep
ὁρᾶτε,horāte,ὁράω,verb 2nd pl pres ind act,you (pl) see,ὁρᾶτε τοὺς θεούς,2nd person plural of ὁράω,880,Homer.Il Plato.Rep
ὁρῶσι,horōsi,ὁράω,verb 3rd pl pres ind act,they see,ὁρῶσι τὴν ἀλήθειαν,3rd person plural of ὁράω,880,Homer.Il Plato.Rep
οἶδα,oida,οἶδα,verb 1st sg perf ind act,I know,οἶδα τὴν ἀλήθειαν,Perfect with present meaning,900,Homer.Il Plato.Rep
οἶδας,oidas,οἶδα,verb 2nd sg perf ind act,you know,οἶδας τοῦτο,2nd person singular of οἶδα,900,Homer.Il Plato.Rep
οἶδε,oide,οἶδα,verb 3rd sg perf ind act,he/she knows,οἶδε τὴν σοφίαν,3rd person singular of οἶδα,900,Homer.Il Plato.Rep
ἴσμεν,ismen,οἶδα,verb 1st pl perf ind act,we know,ἴσμεν ταῦτα,1st person plural of οἶδα,900,Homer.Il Plato.Rep
ἴστε,iste,οἶδα,verb 2nd pl perf ind act,you (pl) know,ἴστε τὴν ἀλήθειαν,2nd person plural of οἶδα,900,Homer.Il Plato.Rep
ἴσασι,isasi,οἶδα,verb 3rd pl perf ind act,they know,ἴσασι τὴν σοφίαν,3rd person plural of οἶδα,900,Homer.Il Plato.Rep
ὁ,ho,ὁ,article masc nom sg,the,ὁ ἀνήρ,Definite article,1000,Homer.Il Plato.Rep
τοῦ,tou,ὁ,article masc gen sg,of the,τοῦ ἀνδρός,Genitive masculine singular,1000,Homer.Il Plato.Rep
τῷ,tōi,ὁ,article masc dat sg,to/for the,τῷ ἀνδρί,Dative masculine singular,1000,Homer.Il Plato.Rep
τόν,ton,ὁ,article masc acc sg,the,τὸν ἄνδρα,Accusative masculine singular,1000,Homer.Il Plato.Rep
οἱ,hoi,ὁ,article masc nom pl,the,οἱ ἄνδρες,Nominative masculine plural,1000,Homer.Il Plato.Rep
ἡ,hē,ὁ,article fem nom sg,the,ἡ γυνή,Feminine nominative singular,1000,Homer.Il Plato.Rep
τῆς,tēs,ὁ,article fem gen sg,of the,τῆς γυναικός,Genitive feminine singular,1000,Homer.Il Plato.Rep
τῇ,tēi,ὁ,article fem dat sg,to/for the,τῇ γυναικί,Dative feminine singular,1000,Homer.Il Plato.Rep
τήν,tēn,ὁ,article fem acc sg,the,τὴν γυναῖκα,Accusative feminine singular,1000,Homer.Il Plato.Rep
αἱ,hai,ὁ,article fem nom pl,the,αἱ γυναῖκες,Nominative feminine plural,1000,Homer.Il Plato.Rep
τό,to,ὁ,article neut nom sg,the,τὸ ἔργον,Neuter nominative singular,1000,Homer.Il Plato.Rep
τοῦ,tou,ὁ,article neut gen sg,of the,τοῦ ἔργου,Genitive neuter singular,1000,Homer.Il Plato.Rep
τῷ,tōi,ὁ,article neut dat sg,to/for the,τῷ ἔργῳ,Dative neuter singular,1000,Homer.Il Plato.Rep
τό,to,ὁ,article neut acc sg,the,τὸ ἔργον,Accusative neuter singular,1000,Homer.Il Plato.Rep
τά,ta,ὁ,article neut nom pl,the,τὰ ἔργα,Nominative neuter plural,1000,Homer.Il Plato.Rep
καί,kai,καί,conjunction,and/also,ἀνὴρ καὶ γυνή,Coordinating conjunction,1000,Homer.Il Plato.Rep
δέ,de,δέ,particle,but/and,ὁ δὲ ἀνήρ,Postpositive particle,950,Homer.Il Plato.Rep
ἀλλά,alla,ἀλλά,conjunction,but,οὐ τοῦτο ἀλλὰ ἐκεῖνο,Strong adversative,900,Homer.Il Plato.Rep
οὐ,ou,οὐ,adverb,not,οὐ λέγω,Negation before vowels,1000,Homer.Il Plato.Rep
οὐκ,ouk,οὐ,adverb,not,οὐκ εἰμί,Before smooth breathing,1000,Homer.Il Plato.Rep
οὐχ,ouch,οὐ,adverb,not,οὐχ ὁρῶ,Before rough breathing,1000,Homer.Il Plato.Rep
μή,mē,μή,adverb,not,μὴ λέγε,Subjunctive/imperative negation,950,Homer.Il Plato.Rep
εἰς,eis,εἰς,preposition,into/to,εἰς τὴν πόλιν,With accusative,900,Homer.Il Herodotus
ἐν,en,ἐν,preposition,in/within,ἐν τῇ πόλει,With dative,950,Homer.Il Plato.Rep
ἐκ,ek,ἐκ,preposition,out of/from,ἐκ τῆς πόλεως,With genitive,920,Homer.Il Herodotus
ἐξ,ex,ἐκ,preposition,out of/from,ἐξ ἀνθρώπων,Before vowels,920,Homer.Il Herodotus
ἀπό,apo,ἀπό,preposition,from/away from,ἀπὸ τῆς πόλεως,With genitive,890,Homer.Il Herodotus
πρός,pros,πρός,preposition,toward/to,πρὸς τὴν πόλιν,With accusative,880,Homer.Il Plato.Rep
παρά,para,παρά,preposition,beside/from,παρὰ τοῦ θεοῦ,Multi-case preposition,860,Homer.Il Herodotus
διά,dia,διά,preposition,through/because of,διὰ τὴν σοφίαν,With accusative/genitive,870,Homer.Il Plato.Rep
μετά,meta,μετά,preposition,with/after,μετὰ τῶν ἀνδρῶν,With genitive/accusative,850,Homer.Il Herodotus
ἐπί,epi,ἐπί,preposition,on/upon/to,ἐπὶ τὴν γῆν,Multi-case preposition,840,Homer.Il Herodotus
κατά,kata,κατά,preposition,down/according to,κατὰ τὸν νόμον,With accusative/genitive,830,Homer.Il Herodotus
ὑπό,hypo,ὑπό,preposition,under/by,ὑπὸ τοῦ θεοῦ,With genitive/accusative,820,Homer.Il Herodotus
ἀρετή,aretē,ἀρετή,noun fem nom sg,virtue/excellence,ἡ ἀρετὴ καλή,Philosophical term,700,Plato.Rep Aristotle
δικαιοσύνη,dikaiosynē,δικαιοσύνη,noun fem nom sg,justice,ἡ δικαιοσύνη μεγίστη,Cardinal virtue,650,Plato.Rep
σοφία,sophia,σοφία,noun fem nom sg,wisdom,ἡ σοφία θεία,Philosophical term,680,Plato.Rep Aristotle
ἀλήθεια,alētheia,ἀλήθεια,noun fem nom sg,truth,ἡ ἀλήθεια φανερά,Core philosophical concept,720,Plato.Rep Aristotle
ψυχή,psychē,ψυχή,noun fem nom sg,soul/life,ἡ ψυχὴ ἀθάνατος,Philosophical/religious term,690,Plato.Rep Homer.Il
σῶμα,sōma,σῶμα,noun neut nom sg,body,τὸ σῶμα θνητόν,Philosophical term,660,Plato.Rep Aristotle
νοῦς,nous,νοῦς,noun masc nom sg,mind/intellect,ὁ νοῦς θεῖος,Philosophical term,620,Plato.Rep Aristotle
λόγος,logos,λόγος,noun masc nom sg,reason/account,ὁ λόγος ἀληθής,Already included above,920,Herodotus Plato.Rep
φύσις,physis,φύσις,noun fem nom sg,nature,ἡ φύσις καλή,Philosophical term,640,Plato.Rep Aristotle
κόσμος,kosmos,κόσμος,noun masc nom sg,world/order,ὁ κόσμος καλός,Cosmological term,610,Plato.Rep
χρόνος,chronos,χρόνος,noun masc nom sg,time,ὁ χρόνος πάντα φέρει,Temporal concept,630,Homer.Il Plato.Rep
τόπος,topos,τόπος,noun masc nom sg,place,ὁ τόπος καλός,Spatial concept,650,Herodotus Plato.Rep
ἔργον,ergon,ἔργον,noun neut nom sg,work/deed,τὸ ἔργον καλόν,Common concept,720,Homer.Il Plato.Rep
βίος,bios,βίος,noun masc nom sg,life,ὁ βίος βραχύς,Philosophical term,580,Plato.Rep Aristotle
θάνατος,thanatos,θάνατος,noun masc nom sg,death,ὁ θάνατος πᾶσι,Universal concept,600,Homer.Il Euripides
ἀθάνατος,athanatos,ἀθάνατος,adj masc nom sg,immortal,θεὸς ἀθάνατος,Religious/philosophical term,550,Homer.Il Plato.Rep
θνητός,thnētos,θνητός,adj masc nom sg,mortal,ἄνθρωπος θνητός,Opposite of ἀθάνατος,570,Homer.Il Plato.Rep
δίκαιος,dikaios,δίκαιος,adj masc nom sg,just/righteous,ἀνὴρ δίκαιος,Moral term,690,Plato.Rep Aristotle
ἄδικος,adikos,ἄδικος,adj masc nom sg,unjust,ἄνθρωπος ἄδικος,Opposite of δίκαιος,590,Plato.Rep
φίλος,philos,φίλος,adj/noun masc nom sg,friend/dear,φίλος ἀγαθός,Can be adjective or noun,710,Homer.Il Plato.Rep
ἐχθρός,echthros,ἐχθρός,adj/noun masc nom sg,enemy/hostile,ἐχθρὸς κακός,Opposite of φίλος,660,Homer.Il Herodotus
νόμος,nomos,νόμος,noun masc nom sg,law/custom,ὁ νόμος δίκαιος,Political/legal term,680,Herodotus Plato.Rep
βασιλεύς,basileus,βασιλεύς,noun masc nom sg,king,ὁ βασιλεὺς μέγας,Political term,750,Homer.Il Herodotus
δῆμος,dēmos,δῆμος,noun masc nom sg,people/populace,ὁ δῆμος ἐλεύθερος,Political term,620,Herodotus Plato.Rep
πόλεμος,polemos,πόλεμος,noun masc nom sg,war,ὁ πόλεμος χαλεπός,Military term,740,Homer.Il Herodotus
εἰρήνη,eirēnē,εἰρήνη,noun fem nom sg,peace,ἡ εἰρήνη καλή,Opposite of πόλεμος,580,Herodotus Plato.Rep
μάχη,machē,μάχη,noun fem nom sg,battle,ἡ μάχη χαλεπή,Military term,700,Homer.Il Herodotus
νίκη,nikē,νίκη,noun fem nom sg,victory,ἡ νίκη καλή,Military/athletic term,650,Homer.Il Herodotus
ἧττα,hētta,ἧττα,noun fem nom sg,defeat,ἡ ἧττα αἰσχρά,Opposite of νίκη,520,Herodotus
στρατός,stratos,στρατός,noun masc nom sg,army,ὁ στρατὸς μέγας,Military term,690,Homer.Il Herodotus
στρατιώτης,stratiōtēs,στρατιώτης,noun masc nom sg,soldier,ὁ στρατιώτης ἀνδρεῖος,Military term,610,Herodotus
ἀνδρεῖος,andreios,ἀνδρεῖος,adj masc nom sg,brave/manly,ἀνὴρ ἀνδρεῖος,Virtue term,590,Homer.Il Plato.Rep
δειλός,deilos,δειλός,adj masc nom sg,cowardly,ἄνθρωπος δειλός,Vice term,480,Homer.Il
ἰσχυρός,ischyros,ἰσχυρός,adj masc nom sg,strong,ἀνὴρ ἰσχυρός,Physical quality,550,Homer.Il
ἀσθενής,asthenēs,ἀσθενής,adj masc nom sg,weak,ἄνθρωπος ἀσθενής,Opposite of ἰσχυρός,480,Medical texts
ταχύς,tachys,ταχύς,adj masc nom sg,fast/swift,ἵππος ταχύς,Speed quality,570,Homer.Il
βραδύς,bradys,βραδύς,adj masc nom sg,slow,βοῦς βραδύς,Opposite of ταχύς,420,Comedy
μικρός,mikros,μικρός,adj masc nom sg,small/little,παῖς μικρός,Size quality,640,Various
μέγας,megas,μέγας,adj masc nom sg,great/large,μέγας βασιλεύς,Irregular adjective; μεγάλου,920,Homer.Il Herodotus
μεγάλη,megalē,μέγας,adj fem nom sg,great/large,μεγάλη πόλις,Feminine of μέγας,920,Homer.Il Herodotus
μέγα,mega,μέγας,adj neut nom sg,great/large,μέγα ἔργον,Neuter of μέγας,920,Homer.Il Herodotus
πολύς,polys,πολύς,adj masc nom sg,much/many,πολὺς χρόνος,Irregular adjective; πολλοῦ,880,Homer.Il Thucydides
πολλή,pollē,πολύς,adj fem nom sg,much/many,πολλὴ ἀρετή,Feminine of πολύς,880,Homer.Il Thucydides
πολύ,poly,πολύς,adj neut nom sg,much/many,πολὺ χρυσίον,Neuter of πολύς,880,Homer.Il Thucydides
κακός,kakos,κακός,adj masc nom sg,bad/evil,κακὸς ἄνθρωπος,Moral quality,850,Homer.Il Plato.Rep
κακή,kakē,κακός,adj fem nom sg,bad/evil,κακὴ γυνή,Feminine of κακός,850,Homer.Il Plato.Rep
κακόν,kakon,κακός,adj neut nom sg,bad/evil,κακὸν ἔργον,Neuter of κακός,850,Homer.Il Plato.Rep
καλός,kalos,καλός,adj masc nom sg,beautiful/noble,καλὸς κἀγαθός,Physical and moral beauty,920,Homer.Il Plato.Rep
καλή,kalē,καλός,adj fem nom sg,beautiful/noble,καλὴ γυνή,Feminine of καλός,920,Homer.Il Plato.Rep
καλόν,kalon,καλός,adj neut nom sg,beautiful/noble,καλὸν ἔργον,Neuter of καλός,920,Homer.Il Plato.Rep
δίκαιος,dikaios,δίκαιος,adj masc nom sg,just/righteous,δίκαιος ἀνήρ,Key virtue term,800,Plato.Rep Aristotle.NE
δικαία,dikaia,δίκαιος,adj fem nom sg,just/righteous,δικαία πόλις,Feminine of δίκαιος,800,Plato.Rep Aristotle.NE
δίκαιον,dikaion,δίκαιος,adj neut nom sg,just/righteous,δίκαιον ἔργον,Neuter of δίκαιος,800,Plato.Rep Aristotle.NE
ἄδικος,adikos,ἄδικος,adj masc nom sg,unjust/wicked,ἄδικος τύραννος,Opposite of δίκαιος,650,Plato.Rep
ἄδικον,adikon,ἄδικος,adj neut nom sg,unjust/wicked,ἄδικον πρᾶγμα,Neuter of ἄδικος,650,Plato.Rep
σώφρων,sōphrōn,σώφρων,adj masc nom sg,temperate/wise,σώφρων ἀνήρ,Cardinal virtue,720,Plato.Rep
σῶφρον,sōphron,σώφρων,adj neut nom sg,temperate/wise,σῶφρον βούλευμα,Neuter of σώφρων,720,Plato.Rep
ἀνδρεῖος,andreios,ἀνδρεῖος,adj masc nom sg,brave/manly,ἀνδρεῖος στρατιώτης,Courage virtue,750,Plato.Rep Xenophon
ἀνδρεία,andreia,ἀνδρεῖος,adj fem nom sg,brave/manly,ἀνδρεία ψυχή,Feminine of ἀνδρεῖος,750,Plato.Rep Xenophon
ἀνδρεῖον,andreion,ἀνδρεῖος,adj neut nom sg,brave/manly,ἀνδρεῖον ἔργον,Neuter of ἀνδρεῖος,750,Plato.Rep Xenophon
φιλόσοφος,philosophos,φιλόσοφος,adj masc nom sg,philosophy-loving,φιλόσοφος ἀνήρ,Compound adj; lover of wisdom,680,Plato.Rep
φιλοσοφία,philosophia,φιλοσοφία,noun fem nom sg,philosophy,ἡ φιλοσοφία τῶν Ἑλλήνων,Love of wisdom,700,Plato.Rep Aristotle
ψυχή,psychē,ψυχή,noun fem nom sg,soul/life,ἡ ψυχὴ ἀθάνατος,Central concept in philosophy,880,Homer.Il Plato.Phd
ψυχῆς,psychēs,ψυχή,noun fem gen sg,of soul/life,τῆς ψυχῆς ἡ ἀρετή,Genitive of ψυχή,880,Homer.Il Plato.Phd
ψυχῇ,psychēi,ψυχή,noun fem dat sg,to/for soul,τῇ ψυχῇ χρῶμαι,Dative of ψυχή,880,Homer.Il Plato.Phd
ψυχήν,psychēn,ψυχή,noun fem acc sg,soul/life,ψυχὴν σῴζω,Accusative of ψυχή,880,Homer.Il Plato.Phd
ψυχαί,psychai,ψυχή,noun fem nom pl,souls/lives,αἱ ψυχαὶ ἀθάνατοι,Nominative plural of ψυχή,880,Homer.Il Plato.Phd
σῶμα,sōma,σῶμα,noun neut nom sg,body,τὸ σῶμα θνητόν,Physical body,820,Homer.Il Plato.Phd
σώματος,sōmatos,σῶμα,noun neut gen sg,of body,τοῦ σώματος ἡ ὑγίεια,Genitive of σῶμα,820,Homer.Il Plato.Phd
σώματι,sōmati,σῶμα,noun neut dat sg,to/for body,τῷ σώματι χρῶμαι,Dative of σῶμα,820,Homer.Il Plato.Phd
σώματα,sōmata,σῶμα,noun neut nom pl,bodies,τὰ σώματα θνητά,Nominative plural of σῶμα,820,Homer.Il Plato.Phd
νοῦς,nous,νοῦς,noun masc nom sg,mind/intellect,ὁ νοῦς διακρίνει,Philosophical term,780,Anaxagoras Aristotle.DA
νοῦ,nou,νοῦς,noun masc gen sg,of mind,τοῦ νοῦ ἡ ἐνέργεια,Genitive of νοῦς,780,Anaxagoras Aristotle.DA
νῷ,nōi,νοῦς,noun masc dat sg,to/for mind,τῷ νῷ καταλαμβάνω,Dative of νοῦς,780,Anaxagoras Aristotle.DA
νοῦν,noun,νοῦς,noun masc acc sg,mind/intellect,νοῦν ἔχω,Accusative of νοῦς,780,Anaxagoras Aristotle.DA
ἐπιστήμη,epistēmē,ἐπιστήμη,noun fem nom sg,knowledge/science,ἡ ἐπιστήμη βεβαία,Certain knowledge,750,Plato.Men Aristotle.AN
τέχνη,technē,τέχνη,noun fem nom sg,art/craft/skill,ἡ τέχνη μιμεῖται,Productive knowledge,790,Plato.Rep Aristotle.NE
τέχνης,technēs,τέχνη,noun fem gen sg,of art/craft,τῆς τέχνης ὁ δημιουργός,Genitive of τέχνη,790,Plato.Rep Aristotle.NE
βασιλεύς,basileus,βασιλεύς,noun masc nom sg,king,ὁ βασιλεὺς δίκαιος,Third declension,870,Homer.Il Herodotus
βασιλέως,basileōs,βασιλεύς,noun masc gen sg,of king,τοῦ βασιλέως ἡ ἀρχή,Genitive of βασιλεύς,870,Homer.Il Herodotus
βασιλεῖ,basilei,βασιλεύς,noun masc dat sg,to/for king,τῷ βασιλεῖ πείθομαι,Dative of βασιλεύς,870,Homer.Il Herodotus
βασιλέα,basilea,βασιλεύς,noun masc acc sg,king,βασιλέα τιμῶ,Accusative of βασιλεύς,870,Homer.Il Herodotus
βασιλεῖς,basileis,βασιλεύς,noun masc nom pl,kings,οἱ βασιλεῖς ἄρχουσι,Nominative plural of βασιλεύς,870,Homer.Il Herodotus
πόλις,polis,πόλις,noun fem nom sg,city-state,ἡ πόλις δημοκρατική,Core political concept,950,Thucydides Plato.Rep
πόλεως,poleōs,πόλις,noun fem gen sg,of city-state,τῆς πόλεως οἱ πολῖται,Genitive of πόλις,950,Thucydides Plato.Rep
πόλει,polei,πόλις,noun fem dat sg,to/for city,τῇ πόλει δουλεύω,Dative of πόλις,950,Thucydides Plato.Rep
πόλιν,polin,πόλις,noun fem acc sg,city-state,πόλιν οἰκίζω,Accusative of πόλις,950,Thucydides Plato.Rep
πόλεις,poleis,πόλις,noun fem nom pl,city-states,αἱ πόλεις Ἑλληνικαί,Nominative plural of πόλις,950,Thucydides Plato.Rep
πολίτης,politēs,πολίτης,noun masc nom sg,citizen,ὁ πολίτης δημοκρατικός,Member of πόλις,820,Aristotle.Pol
πολίτου,politou,πολίτης,noun masc gen sg,of citizen,τοῦ πολίτου τὰ δικαιώματα,Genitive of πολίτης,820,Aristotle.Pol
πολίτῃ,politēi,πολίτης,noun masc dat sg,to/for citizen,τῷ πολίτῃ μετέστι,Dative of πολίτης,820,Aristotle.Pol
πολίτην,politēn,πολίτης,noun masc acc sg,citizen,πολίτην ποιῶ,Accusative of πολίτης,820,Aristotle.Pol
πολῖται,politai,πολίτης,noun masc nom pl,citizens,οἱ πολῖται ψηφίζονται,Nominative plural of πολίτης,820,Aristotle.Pol
δημοκρατία,dēmokratia,δημοκρατία,noun fem nom sg,democracy,ἡ δημοκρατία Ἀθηναίων,Rule by people,680,Thucydides Aristotle.Pol
δῆμος,dēmos,δῆμος,noun masc nom sg,people/populace,ὁ δῆμος κυριεύει,Common people,780,Thucydides Aristotle.Pol
δήμου,dēmou,δῆμος,noun masc gen sg,of people,τοῦ δήμου ἡ βουλή,Genitive of δῆμος,780,Thucydides Aristotle.Pol
ἀριστοκρατία,aristokratia,ἀριστοκρατία,noun fem nom sg,aristocracy,ἡ ἀριστοκρατία Σπαρτιατῶν,Rule by best,580,Aristotle.Pol
τυραννίς,tyrannis,τυραννίς,noun fem nom sg,tyranny,ἡ τυραννὶς μισεῖται,One-man rule,620,Herodotus Aristotle.Pol
τύραννος,tyrannos,τύραννος,noun masc nom sg,tyrant,ὁ τύραννος ἄρχει,Autocratic ruler,640,Herodotus Aristotle.Pol
στρατηγός,stratēgos,στρατηγός,noun masc nom sg,general,ὁ στρατηγὸς ἡγεῖται,Military commander,780,Thucydides Xenophon
στρατηγοῦ,stratēgou,στρατηγός,noun masc gen sg,of general,τοῦ στρατηγοῦ ἡ τάξις,Genitive of στρατηγός,780,Thucydides Xenophon
στρατιώτης,stratiōtēs,στρατιώτης,noun masc nom sg,soldier,ὁ στρατιώτης μάχεται,Common soldier,760,Thucydides Xenophon
στρατιώτου,stratiōtou,στρατιώτης,noun masc gen sg,of soldier,τοῦ στρατιώτου τὰ ὅπλα,Genitive of στρατιώτης,760,Thucydides Xenophon
στρατός,stratos,στρατός,noun masc nom sg,army,ὁ στρατὸς πολέμιος,Military force,820,Homer.Il Thucydides
στρατοῦ,stratou,στρατός,noun masc gen sg,of army,τοῦ στρατοῦ ὁ ἡγεμών,Genitive of στρατός,820,Homer.Il Thucydides
πόλεμος,polemos,πόλεμος,noun masc nom sg,war,ὁ πόλεμος δεινός,State of warfare,890,Homer.Il Thucydides
πολέμου,polemou,πόλεμος,noun masc gen sg,of war,τοῦ πολέμου αἱ συμφοραί,Genitive of πόλεμος,890,Homer.Il Thucydides
εἰρήνη,eirēnē,εἰρήνη,noun fem nom sg,peace,ἡ εἰρήνη ἀγαθή,Absence of war,750,Thucydides Aristotle.Pol
